nodes,trial,v0_throughput,v0_mem_usage,v0_warm_time,v0_train_hit,v0_train_pkg_hit,v0_test_hit,v0_test_pkg_hit,v1_throughput,v1_mem_usage,v1_warm_time,v1_train_hit,v1_train_pkg_hit,v1_test_hit,v1_test_pkg_hit,v2_throughput,v2_mem_usage,v2_warm_time,v2_train_hit,v2_train_pkg_hit,v2_test_hit,v2_test_pkg_hit,v3_throughput,v3_mem_usage,v3_warm_time,v3_train_hit,v3_train_pkg_hit,v3_test_hit,v3_test_pkg_hit
1.0,4,36.849,64464.0,155.294,0.00227,0.0,0.0193,0.0,36.583,73776.0,130.863,0.00227,0.0,0.0193,0.0,36.917,68680.0,176.49,0.00227,0.0,0.0193,0.0,36.661,63964.0,156.792,0.00227,0.0,0.0193,0.0
20.0,4,37.478,157188.0,264.974,0.51932,0.23249,0.52894,0.21931,50.162,238904.0,354.504,0.6125,0.09138,0.57889,0.08767,59.357,386764.0,699.136,0.59432,0.72146,0.57548,0.6909,90.322,496424.0,1000.946,0.61364,0.36489,0.58456,0.33313
40.0,4,42.838,244112.0,343.647,0.63409,0.37295,0.63564,0.36075,52.987,364248.0,493.989,0.67273,0.16381,0.66175,0.15687,69.807,613832.0,973.626,0.74091,0.82065,0.70375,0.7944,111.750,1103572.0,1837.689,0.62955,0.68819,0.59705,0.65495
80.0,4,48.534,406680.0,434.139,0.775,0.5189,0.77526,0.51814,60.148,631876.0,696.761,0.73295,0.27177,0.71623,0.25871,111.539,1385812.0,2006.25,0.81705,0.91171,0.78661,0.88617,145.837,2001856.0,2849.557,0.70795,0.77486,0.68672,0.74169
120.0,4,64.329,672516.0,711.665,0.86136,0.56843,0.84563,0.56509,62.397,1042096.0,1032.267,0.8,0.31904,0.78661,0.3089,130.014,2142228.0,3314.469,0.88182,0.94215,0.84677,0.90796,153.005,2799632.0,4048.21,0.76591,0.82936,0.72191,0.78076
160.0,4,70.735,886876.0,904.45,0.90455,0.59029,0.86833,0.58595,63.623,1349356.0,1153.271,0.80909,0.35548,0.79115,0.34856,151.199,2880780.0,3830.968,0.92045,0.95866,0.89671,0.92041,159.232,3274400.0,4345.452,0.82614,0.86457,0.80023,0.80983
240.0,4,75.216,1348180.0,1282.178,0.925,0.61789,0.89671,0.60926,64.312,2019804.0,1558.498,0.83182,0.3845,0.81158,0.37578,166.546,4018368.0,5257.584,0.95455,0.97588,0.91941,0.92868,163.484,3875880.0,5124.584,0.85455,0.90726,0.81725,0.84141
320.0,4,76.837,1867444.0,1645.072,0.94545,0.63472,0.91941,0.62118,64.428,2514336.0,1925.47,0.84091,0.40578,0.81612,0.3969,167.301,4746088.0,6017.127,0.97614,0.98504,0.93303,0.93233,163.740,4376168.0,5241.123,0.92955,0.9388,0.88082,0.86624
480.0,4,85.434,2977040.0,2711.976,0.97273,0.65639,0.92849,0.6368,70.672,3524168.0,2787.696,0.87045,0.43899,0.82633,0.42491,166.791,5619564.0,6543.549,1.0,0.99536,0.95687,0.93597,163.372,4880056.0,5568.088,0.98977,0.97369,0.9546,0.88783
640.0,4,87.247,4024616.0,3569.832,1.0,0.6691,0.96481,0.6425,69.587,4315556.0,3416.314,0.89205,0.47588,0.83882,0.45444,173.672,6112440.0,6680.917,1.0,1.0,0.95687,0.9369,167.819,5128180.0,5649.692,0.99773,0.98078,0.96481,0.89048
1.0,5,37.812,69524.0,160.587,0.0125,0.0,0.00908,0.0,37.477,65504.0,152.637,0.0125,0.0,0.00908,0.0,37.259,65440.0,154.633,0.0125,0.0,0.00908,0.0,36.924,61632.0,176.704,0.0125,0.0,0.00908,0.0
20.0,5,39.661,153416.0,259.963,0.50795,0.21928,0.5403,0.23369,50.998,234552.0,333.872,0.6125,0.09062,0.61521,0.09057,57.802,465652.0,1003.62,0.59886,0.71391,0.60386,0.70548,87.264,458368.0,983.141,0.58182,0.3692,0.61294,0.35051
40.0,5,40.451,231928.0,351.952,0.64091,0.35786,0.6538,0.37752,53.283,363504.0,456.248,0.66136,0.1581,0.67764,0.16108,70.217,719936.0,1090.814,0.74886,0.8213,0.74801,0.79643,111.249,1000856.0,1799.427,0.60909,0.58291,0.62997,0.57185
80.0,5,50.284,415040.0,517.312,0.76477,0.51181,0.78547,0.52745,62.199,644884.0,681.331,0.7625,0.26536,0.76163,0.27369,109.461,1445144.0,2289.563,0.82614,0.91126,0.81725,0.89019,138.992,1902148.0,2948.043,0.68636,0.782,0.68785,0.76516
120.0,5,66.175,728900.0,774.69,0.88636,0.5764,0.87628,0.57312,63.492,1022060.0,1021.227,0.7875,0.3099,0.79682,0.32217,117.671,2032520.0,3058.443,0.90682,0.94191,0.87968,0.9151,149.421,2716188.0,3954.636,0.74432,0.83539,0.74461,0.79981
160.0,5,67.894,963000.0,1074.319,0.91364,0.59874,0.89217,0.59013,65.079,1300972.0,1174.764,0.79659,0.34424,0.80704,0.36185,125.530,2590408.0,4026.115,0.92273,0.95787,0.89217,0.92433,149.726,3206356.0,4145.595,0.80795,0.86464,0.80931,0.82
240.0,5,70.711,1379480.0,1293.298,0.92955,0.62577,0.90692,0.60885,68.194,1968552.0,1578.523,0.81023,0.37074,0.81839,0.38866,136.846,3804232.0,5017.703,0.94773,0.97578,0.91146,0.9351,160.488,3815536.0,4896.701,0.83295,0.90166,0.83314,0.85185
320.0,5,76.810,1899568.0,1733.263,0.975,0.64174,0.94211,0.62357,69.348,2446208.0,1920.064,0.825,0.39314,0.83768,0.41166,140.165,4486560.0,6258.965,1.0,0.98497,0.96595,0.93994,156.826,4245312.0,5150.771,0.90455,0.93688,0.8933,0.88554
480.0,5,78.518,2954696.0,2393.026,0.975,0.6626,0.94211,0.63408,74.775,3363228.0,2495.914,0.84659,0.43198,0.84563,0.44172,139.704,5415736.0,6372.291,1.0,0.99571,0.96595,0.94287,163.154,4764176.0,5494.668,0.99091,0.97203,0.96027,0.90599
640.0,5,79.815,4005504.0,3691.334,0.97614,0.67333,0.94211,0.63701,76.769,4135820.0,3028.226,0.92159,0.46284,0.92849,0.46618,143.095,5774796.0,6889.643,1.0,1.0,0.96595,0.94446,163.538,5002868.0,5629.659,0.99773,0.98122,0.97276,0.90873
1.0,6,34.440,65276.0,147.853,0.01136,0.0,0.01022,0.0,34.251,70892.0,145.324,0.01136,0.0,0.01022,0.0,33.938,71312.0,148.288,0.01136,0.0,0.01022,0.0,34.280,69752.0,156.593,0.01136,0.0,0.01022,0.0
20.0,6,34.937,157052.0,244.229,0.50455,0.23221,0.5437,0.22029,46.642,240352.0,333.446,0.63409,0.08551,0.62997,0.08782,58.570,430344.0,934.328,0.57273,0.70553,0.59705,0.71988,86.915,441328.0,924.06,0.60682,0.33274,0.59591,0.37504
40.0,6,36.478,232760.0,298.171,0.7,0.36354,0.72418,0.35655,49.096,362060.0,419.833,0.675,0.15886,0.66402,0.16462,71.695,730692.0,1217.811,0.61932,0.80334,0.63224,0.80078,103.546,971388.0,1858.954,0.63977,0.67732,0.61975,0.6895
80.0,6,44.979,414636.0,508.997,0.76705,0.51893,0.7832,0.52041,55.071,652124.0,672.699,0.77614,0.26035,0.76277,0.27722,109.504,1475004.0,2166.262,0.81818,0.90266,0.81158,0.89979,141.435,2075848.0,3396.993,0.70227,0.78445,0.6765,0.77197
120.0,6,67.043,719848.0,804.13,0.87045,0.57318,0.87401,0.57262,56.663,1043936.0,982.552,0.80227,0.30596,0.78207,0.32308,125.086,2144340.0,2988.365,0.86932,0.93624,0.85017,0.92068,147.748,2767704.0,3926.65,0.74773,0.81993,0.71964,0.7916
160.0,6,68.107,907508.0,915.014,0.88864,0.59445,0.88649,0.58703,57.821,1369292.0,1285.59,0.81023,0.34009,0.79228,0.35277,133.655,2767156.0,3935.007,0.90341,0.9533,0.8933,0.93106,151.405,3188244.0,4487.911,0.83182,0.86153,0.80023,0.82991
240.0,6,70.276,1413580.0,1281.482,0.92159,0.62205,0.91146,0.61049,59.935,1961616.0,1585.508,0.83636,0.3738,0.80931,0.37951,148.801,3729244.0,5423.064,0.94773,0.97254,0.92395,0.94137,157.314,3811488.0,4858.999,0.85455,0.89742,0.81725,0.85677
320.0,6,75.673,1878204.0,1652.865,0.94432,0.64047,0.91941,0.62314,59.995,2435064.0,1836.021,0.85227,0.39889,0.81498,0.39894,153.423,4514752.0,6128.223,0.97159,0.98294,0.94665,0.94496,159.176,4296484.0,4751.425,0.90909,0.9323,0.88309,0.88778
480.0,6,77.920,2992012.0,2477.284,0.97159,0.6627,0.95687,0.63345,62.792,3364808.0,2468.772,0.86364,0.43688,0.81725,0.42712,151.130,5399972.0,6294.529,0.97386,0.99381,0.94892,0.94747,168.708,4849444.0,5206.091,0.99205,0.96424,0.96822,0.90709
640.0,6,79.933,3938584.0,3297.514,0.97273,0.67779,0.95687,0.63849,66.151,4157124.0,2746.689,0.87727,0.46978,0.83655,0.4492,158.039,5947240.0,7137.411,1.0,1.0,0.97503,0.94968,156.786,5144348.0,5500.506,0.99886,0.98063,0.97616,0.91401
1.0,7,36.012,66916.0,151.33,0.00795,0.0,0.01362,0.0,36.406,66624.0,186.436,0.00795,0.0,0.01362,0.0,36.276,68492.0,144.865,0.00795,0.0,0.01362,0.0,36.237,67712.0,152.18,0.00795,0.0,0.01362,0.0
20.0,7,37.947,154912.0,279.684,0.53295,0.22603,0.51532,0.2258,49.405,234744.0,346.803,0.62386,0.09078,0.60386,0.09039,55.819,408796.0,880.701,0.60227,0.72733,0.56754,0.6916,86.433,476704.0,926.988,0.62045,0.37873,0.57435,0.34859
40.0,7,38.428,231068.0,329.079,0.64432,0.36836,0.6504,0.36645,50.729,362280.0,432.978,0.67841,0.16139,0.65607,0.15775,72.377,641192.0,1000.775,0.66591,0.83215,0.62202,0.79033,104.732,1100836.0,2007.823,0.62841,0.71802,0.59251,0.68381
80.0,7,47.347,413608.0,524.919,0.77386,0.52049,0.77639,0.51834,57.585,643864.0,717.194,0.7125,0.27534,0.69694,0.26793,92.667,1337048.0,2354.179,0.81818,0.9199,0.80136,0.86962,133.827,2119148.0,3295.134,0.70795,0.7926,0.67991,0.75655
120.0,7,66.575,712072.0,827.164,0.89091,0.57594,0.88422,0.5726,59.639,1032432.0,919.405,0.79545,0.33346,0.78888,0.3237,109.448,2093840.0,3124.045,0.87386,0.94716,0.85358,0.89927,139.698,2838900.0,4262.386,0.74205,0.84116,0.71056,0.79992
160.0,7,68.030,915780.0,1076.41,0.89886,0.59513,0.8899,0.59025,61.872,1342588.0,1163.392,0.80227,0.36153,0.79909,0.35066,115.162,2501968.0,3562.093,0.91932,0.96107,0.90919,0.91361,143.584,3248072.0,4546.122,0.825,0.87152,0.80931,0.82853
240.0,7,68.760,1288888.0,1172.286,0.92955,0.61867,0.92054,0.61025,61.318,1978104.0,1514.207,0.83523,0.38394,0.82179,0.37141,126.473,3570980.0,4589.988,0.97159,0.97721,0.94552,0.92554,144.796,3871736.0,4755.845,0.85341,0.90816,0.82633,0.85583
320.0,7,72.873,1777068.0,1533.45,0.95682,0.63425,0.94098,0.62838,62.936,2475440.0,1846.659,0.84205,0.41046,0.8252,0.39479,130.802,4425852.0,5367.324,0.97955,0.98628,0.95119,0.92892,148.352,4341696.0,5177.367,0.92386,0.94014,0.88309,0.88162
480.0,7,74.983,3070608.0,2645.121,0.97273,0.6535,0.95346,0.63789,69.189,3443312.0,2656.3,0.86705,0.44542,0.83428,0.42554,131.463,5328556.0,6467.428,0.98068,0.99621,0.95119,0.93195,152.555,4889444.0,5276.162,0.99318,0.97168,0.96254,0.90465
640.0,7,77.905,4065128.0,3408.734,1.0,0.66344,0.97276,0.64293,69.055,4216052.0,2969.729,0.93295,0.4841,0.90579,0.45863,130.848,5736088.0,6856.074,1.0,1.0,0.96708,0.9334,156.551,5104104.0,5825.935,0.99886,0.98137,0.96708,0.90761
1.0,8,37.585,68180.0,164.899,0.00795,0.0,0.01362,0.0,37.795,71012.0,153.249,0.00795,0.0,0.01362,0.0,37.747,70892.0,148.512,0.00795,0.0,0.01362,0.0,37.763,67316.0,153.352,0.00795,0.0,0.01362,0.0
20.0,8,39.932,155956.0,277.069,0.51932,0.22876,0.52894,0.22169,51.717,247964.0,354.335,0.63409,0.08592,0.64245,0.08447,62.624,440240.0,1045.7,0.61818,0.7224,0.58456,0.69522,87.410,487748.0,923.964,0.59659,0.35997,0.60159,0.33492
40.0,8,40.324,231240.0,343.835,0.64773,0.36753,0.64699,0.36671,54.138,372108.0,504.029,0.66364,0.15938,0.67083,0.1546,77.985,613468.0,1014.155,0.625,0.82479,0.58797,0.79007,105.329,1201720.0,2242.558,0.61136,0.63899,0.61407,0.57254
80.0,8,50.331,414392.0,535.446,0.76591,0.52161,0.78434,0.51742,59.312,669500.0,689.425,0.77045,0.27347,0.76163,0.26221,132.558,1520024.0,2325.854,0.81932,0.91524,0.80704,0.88294,133.546,2256340.0,3476.792,0.68409,0.78526,0.68331,0.74605
120.0,8,72.591,720564.0,813.229,0.86364,0.5784,0.88082,0.57076,63.982,1044044.0,1020.245,0.79545,0.3455,0.79228,0.33247,149.161,2196592.0,3155.588,0.86591,0.94212,0.86039,0.90746,141.972,3099116.0,4463.722,0.73636,0.83668,0.72531,0.791
160.0,8,76.116,1000572.0,1082.011,0.87841,0.59888,0.88876,0.58292,65.844,1346092.0,1208.854,0.79773,0.36217,0.79455,0.34741,154.758,2678996.0,3773.876,0.91136,0.95723,0.90919,0.91804,141.167,3560140.0,4813.473,0.81705,0.87544,0.81044,0.82087
240.0,8,81.033,1438876.0,1375.312,0.93409,0.6253,0.9353,0.60473,66.447,2043836.0,1619.458,0.81477,0.38136,0.81158,0.36328,171.670,3807180.0,5306.119,0.95795,0.97513,0.94438,0.92637,144.294,4148916.0,5429.245,0.89545,0.9259,0.86833,0.85657
320.0,8,81.445,1849476.0,1580.161,0.95795,0.64235,0.94892,0.61432,65.669,2474876.0,1833.464,0.82841,0.41004,0.83087,0.38932,178.441,4764636.0,6220.517,0.98182,0.98521,0.95687,0.93,149.256,4649524.0,5799.216,0.90795,0.94186,0.87287,0.86456
480.0,8,85.338,3031936.0,2776.526,0.97841,0.66161,0.95914,0.62476,72.933,3557240.0,2822.338,0.84545,0.44635,0.83882,0.41781,187.140,5701268.0,6641.488,0.98295,0.99554,0.95687,0.93357,149.858,5207772.0,6044.79,0.99091,0.9675,0.97049,0.88439
640.0,8,87.627,3934364.0,3474.964,0.97841,0.67194,0.95914,0.62767,73.886,4313104.0,3288.085,0.92386,0.48756,0.90919,0.45006,186.099,6119816.0,6998.854,1.0,1.0,0.96595,0.9341,142.642,5488240.0,6075.043,1.0,0.9823,0.97162,0.89014
1.0,9,39.072,61048.0,155.564,0.00909,0.0,0.01249,0.0,38.954,68740.0,149.007,0.00909,0.0,0.01249,0.0,38.600,71768.0,144.574,0.00909,0.0,0.01249,0.0,38.926,71504.0,140.513,0.00909,0.0,0.01249,0.0
